Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_90.04,GS1_90,12.1,14.5804676754,26.3049734127,1
GS1_90.05,GS1_90,10.8,14.4882860666,26.4734516162,1
GS1_90.06,GS1_90,13.3,13.2225913621,28.6437572125,1
GS1_91.01,GS1_91,13.7,16.0777385159,32.9918460607,9
GS1_91.02,GS1_91,12.3,15.692124105,28.2559334343,9
GS1_91.03,GS1_91,13.6,16.3903061224,29.4484942944,9
GS1_91.04,GS1_91,12.4,15.7966101695,30.4540876668,9
GS1_91.05,GS1_91,13.8,16.8532704773,28.6982792577,9
GS1_91.06,GS1_91,13.9,16.7264038232,31.9343836032,9
GS1_92.01,GS1_92,12.7,15.5365371955,26.6573088355,7
GS1_92.02,GS1_92,13,16.3870967742,26.7838190623,7
GS1_92.03,GS1_92,13,17.666232073,27.7889114823,7
GS1_92.04,GS1_92,12.8,15.4903185509,26.7514691062,7
GS1_92.05,GS1_92,13.8,17.4887892377,26.9220298261,7
GS1_92.06,GS1_92,11.8,14.6674953387,27.072746971,7
GS1_93.01,GS1_93,13.8,16.8260038241,29.9280272373,13
GS1_93.02,GS1_93,13.2,16.0598179454,27.6337220826,13
GS1_93.03,GS1_93,13.3,17.0568561873,29.3907735964,13
GS1_93.04,GS1_93,11.3,13.5626216742,25.5298206921,13
GS1_93.05,GS1_93,12.6,15.5927835052,28.8264578543,13
GS1_93.06,GS1_93,13.1,17.0432537121,27.8652557823,13
GS1_94.01,GS1_94,12.7,14.5431145431,28.4358446772,7
GS1_94.02,GS1_94,12.2,14.157014157,28.0195978493,7
GS1_94.03,GS1_94,11.5,15.4300722259,28.533905725,7
GS1_94.04,GS1_94,12.3,14.8744365744,28.7350177369,7
GS1_94.05,GS1_94,12.6,14.7882736156,29.5117759567,7
GS1_94.06,GS1_94,11.5,15.5183116077,30.1766590682,7
GS1_95.02,GS1_95,10.5,13.4337727558,30.6418792177,11
GS1_95.04,GS1_95,10.5,13.9367816092,27.4785741064,11
GS1_95.05,GS1_95,11.6,13.7414116177,29.110981723,11
GS1_95.06,GS1_95,11.7,13.5333333333,28.4555009458,11
GS1_96.01,GS1_96,11.6,15.0586701434,32.01029943,13
GS1_96.02,GS1_96,11.8,16.2018592297,28.5295793827,13
GS1_96.03,GS1_96,13.6,16.7948717949,32.0182434652,13
GS1_96.04,GS1_96,12.8,16.4254247955,28.6531344495,13
GS1_96.05,GS1_96,12.9,19.0903267136,26.9725703576,13
GS1_96.06,GS1_96,12.7,17.8856382979,30.1880470532,13
GS1_97.01,GS1_97,13.8,15.8505154639,29.5576992957,11
GS1_97.02,GS1_97,13.6,16.9878658101,32.0716201863,11
GS1_97.03,GS1_97,13.6,17.7991581479,30.7451270077,11
GS1_97.04,GS1_97,12.1,15.0412087912,28.0359789709,11
GS1_97.05,GS1_97,13.2,16.3879598662,28.1455401968,11
GS1_97.06,GS1_97,14.2,17.7283653846,30.3583345995,11
GS1_98.01,GS1_98,14.1,17.5068119891,31.7926085587,10
GS1_98.02,GS1_98,12.7,14.4602851324,29.1053653937,10
GS1_98.03,GS1_98,12.4,15.5934343434,30.4477284691,10
GS1_98.04,GS1_98,11.9,16.4872139973,27.1948430955,10
GS1_98.05,GS1_98,10.1,14.8121899362,30.0353029251,10
GS1_98.06,GS1_98,13.8,16.6436464088,28.0087097161,10
GS1_99.01,GS1_99,12.8,17.7593889243,24.5397657336,6
GS1_99.02,GS1_99,12.3,14.9358974359,26.680101376,6
GS1_99.03,GS1_99,11.5,15.595162317,27.7207080459,6
GS1_99.04,GS1_99,12,15.6801007557,27.8110093572,6
GS1_99.05,GS1_99,9.3,15.2574698029,26.1053531669,6
GS1_99.06,GS1_99,10.6,14.4841269841,25.9343060974,6
GS1_100.01,GS1_100,10.5,13.2978723404,31.4432310138,11
GS1_100.02,GS1_100,11.1,12.306501548,32.5071597984,11
GS1_100.03,GS1_100,12.7,13.8966480447,31.4664743157,11
GS1_100.04,GS1_100,13.5,15.2014652015,33.773123006,11
GS1_100.05,GS1_100,13.2,13.730255164,28.6965754352,11
GS1_100.06,GS1_100,10.3,12.7272727273,28.6705060995,11
GS1_101.01,GS1_101,13.2,16.5184243964,31.3521152943,10
GS1_101.02,GS1_101,12.4,16.1103047896,30.653213702,10
GS1_101.03,GS1_101,14.1,15.3846153846,30.1711350719,10
GS1_101.04,GS1_101,14.1,16.7645140248,31.1348543956,10
GS1_101.05,GS1_101,14,15.9943382873,32.8049567487,10
GS1_101.06,GS1_101,13.8,15.1034482759,30.9405211352,10
GS1_102.01,GS1_102,12.8,14.7807637907,23.499762495,2
GS1_102.02,GS1_102,11.8,16.4122137405,23.1334731611,2
GS1_102.03,GS1_102,12.1,14.6187775677,26.9805112661,2
GS1_102.04,GS1_102,13.3,20.819112628,29.0525062032,2
GS1_102.05,GS1_102,12.3,14.888337469,26.2023020234,2
GS1_102.06,GS1_102,13.2,16.6555183946,25.4343946316,2
GS1_103.01,GS1_103,12.7,18.1992337165,28.3692818264,5
GS1_103.02,GS1_103,11.4,13.3240804997,31.2937754227,5
GS1_103.03,GS1_103,11.4,14.2153413089,27.8743965635,5
GS1_103.04,GS1_103,12.4,15.6375838926,30.8383524932,5
GS1_103.05,GS1_103,13.1,14.8906139732,29.5386543245,5
GS1_103.06,GS1_103,11.5,15.3261557948,33.6430928163,5
GS1_104.01,GS1_104,14.5,16.8016194332,31.2765641716,10
GS1_104.02,GS1_104,11.8,14.6807109941,29.2426744807,10
GS1_104.03,GS1_104,10.9,12.4129195693,29.832774335,10
GS1_104.04,GS1_104,11.8,13.7029955386,33.5879124753,10
GS1_104.05,GS1_104,13.4,16.6551485833,27.8190656948,10
GS1_104.06,GS1_104,10.9,11.6429495472,31.0154875488,10
GS1_105.01,GS1_105,12.3,16.1179698217,28.1981340549,1
GS1_105.02,GS1_105,11.1,12.188365651,28.8334476436,1
GS1_105.03,GS1_105,12.9,16.7464114833,27.1272979712,1
GS1_105.04,GS1_105,13.3,15.5161078238,28.6540704689,1
GS1_105.05,GS1_105,13.6,16.3448275862,31.515243068,1
GS1_105.06,GS1_105,11.7,14.196372733,27.8554726628,1
GS1_106.01,GS1_106,11.1,13.6427566807,23.42627436,5
GS1_106.02,GS1_106,10.8,13.0347593583,23.3037580205,5
GS1_106.03,GS1_106,8.5,12.2762148338,23.8027127485,5
GS1_106.04,GS1_106,11.1,11.9237861094,23.1526636717,5
GS1_107.01,GS1_107,12.6,13.7362637363,24.4496154613,2
GS1_107.02,GS1_107,10.4,11.9242902208,25.5232727172,2
GS1_107.03,GS1_107,9.9,10.6277190802,25.2301325731,2
GS1_107.04,GS1_107,10.8,13.6194029851,28.6876651482,2
GS1_107.05,GS1_107,11.2,11.8339100346,22.8020183962,2
GS1_107.06,GS1_107,10.3,11.3268608414,25.5734215455,2
GS1_108.01,GS1_108,9.8,14.9152542373,29.4810841224,5
GS1_108.02,GS1_108,11.7,13.470790378,29.5664754036,5
GS1_108.03,GS1_108,11.4,15.2287581699,29.0098257307,5
GS1_108.04,GS1_108,11.8,15.6154317208,30.7218191099,5
GS1_108.05,GS1_108,9.3,14.8097826087,31.8796777226,5
GS1_108.06,GS1_108,12.5,14.2953020134,30.1530980112,5
GS1_109.01,GS1_109,12.6,16.411238825,29.9914881,13
GS1_109.02,GS1_109,11.3,13.2450331126,25.4210409104,13
GS1_109.03,GS1_109,10.9,12.3251165889,24.3542139716,13
GS1_109.04,GS1_109,11.6,13.0463576159,25.5682333968,13
GS1_109.05,GS1_109,13.3,14.6260754467,29.0253701686,13
GS1_109.06,GS1_109,9.7,11.8871725991,25.5613137642,13
GS1_110.01,GS1_110,10.4,13.2793017456,23.6059516928,10
GS1_110.02,GS1_110,11.9,14.1268803139,24.5469645002,10
GS1_110.03,GS1_110,11.3,15.7790927022,25.0702665571,10
GS1_110.04,GS1_110,9.1,10.4262295082,22.448008005,10
GS1_110.05,GS1_110,10.3,12.6174496644,25.9502877035,10
GS1_110.06,GS1_110,12.3,16.1558109834,25.5209388772,10
GS1_111.01,GS1_111,11.2,13.1228070175,25.764864834,6
GS1_111.02,GS1_111,11.8,13.3995037221,24.9323351262,6
GS1_111.03,GS1_111,11.4,12.5566343042,20.9881349391,6
GS1_111.04,GS1_111,10.3,11.9641714651,18.8828950623,6
GS1_111.05,GS1_111,11.2,14.4832126399,21.0226975458,6
GS1_111.06,GS1_111,11.1,13.9645776567,23.1203578598,6
GS1_112.01,GS1_112,9.9,13.7909709338,25.2897500095,1
GS1_112.02,GS1_112,10.6,13.5135135135,25.0571735159,1
GS1_112.03,GS1_112,10.3,13.1561892417,25.1156287976,1
GS1_112.04,GS1_112,11.5,14.8765432099,27.7717221521,1
GS1_112.05,GS1_112,10.8,13.829787234,24.714420062,1
GS1_112.06,GS1_112,10.8,13.0847029077,24.9503768791,1
GS1_113.01,GS1_113,13.2,15.9903089037,29.0448893942,2
GS1_113.02,GS1_113,9.6,16.0054719562,34.2753585624,2
GS1_113.03,GS1_113,10.8,16.0073037127,29.7733097868,2
GS1_113.04,GS1_113,12.7,15.3121319199,30.1709822997,2
GS1_113.05,GS1_113,11.7,16.3291966035,28.7693345036,2
GS1_113.06,GS1_113,8.9,15.8895705521,31.9410907965,2
GS1_114.01,GS1_114,11.9,14.401076716,30.9697313033,13
GS1_114.02,GS1_114,12.1,14.2118863049,29.06904907,13
GS1_114.03,GS1_114,11.9,14.6825396825,31.3695265594,13
GS1_114.04,GS1_114,11.4,14.3041237113,31.8377400242,13
GS1_114.05,GS1_114,12,14.6830530401,30.4933906924,13
GS1_114.06,GS1_114,12,14.0093395597,31.5066157025,13
GS1_115.01,GS1_115,11.2,14.0052356021,24.0411384081,4
GS1_115.02,GS1_115,9.1,13.1614654003,20.077133218,4
GS1_115.03,GS1_115,11,12.9931972789,20.8634972841,4
GS1_116.01,GS1_116,11.3,16.1434977578,27.2440222752,9
