FruitID,Weight,Length,Width,Ripeness,X,Y,Z
GS3_171.4,728.3,19.5,8,ripeness,37.533,31.27,4.124
GS3_171.5,672,18.5,7.5,ripeness,34.493,29.163,3.788
GS3_171.6,640.8,18,9.5,ripeness,39.449,33.082,4.173
GS3_174.1,721.6,18.5,8.5,ripeness,40.458,34.007,3.376
GS3_174.2,681.2,16.5,9,ripeness,43.759,37.698,4.325
GS3_174.3,713,18,8.5,ripeness,43.813,38.654,4.379
GS3_174.4,556,16.5,8.5,ripeness,39.634,33.034,3.792
GS3_174.5,585.5,17,8.5,ripeness,41.997,35.691,3.939
GS3_174.6,569,16.5,8,ripeness,42.643,36.55,4.079
GS3_174.7,561.5,17.5,7.5,ripeness,41.755,35.728,4.041
GS3_174.8,783.5,18.5,9,ripeness,41.953,35.458,3.633
GS3_174.9,635.4,18,8,ripeness,40.492,34.203,3.842
GS3_174.10,491.7,16.5,7.5,ripeness,39.793,33.391,3.861
GS3_156.1,458.9,13,8.5,ripeness,42.4,38.497,5.562
GS3_156.2,872.3,16.5,9.5,Quarter,37.525,31.092,4.023
GS3_156.3,815.1,17,9,Quarter,40.758,33.797,4.415
GS3_156.4,937.9,17,10,Quarter,37.595,31.112,3.867
GS3_156.5,1164,19.5,10,Quarter,38.138,31.896,4.041
GS3_66.1,696.5,15.5,8.5,ripeness,35.637,29.473,2.906
GS3_66.2,829.6,15.5,9,Quarter,36.063,30.468,3.691
GS3_66.3,709.1,17,8.5,ripeness,36.265,30.169,3.703
GS3_66.4,836.7,18.5,9,ripeness,39.379,32.801,4.322
GS3_66.5,782.8,17.5,9.5,ripeness,39.472,33.163,3.491
GS3_66.6,782.8,14.5,9.5,ripeness,35.903,30.453,3.658
GS3_66.7,635.2,14,9,Quarter,35.607,29.704,3.166
GS3_151.1,444.3,14,8.5,Quarter,39.003,31.916,3.507
GS3_151.2,478.6,13,8,ripeness,37.977,30.885,3.206
GS3_151.3,440.7,14.5,8,ripeness,39.047,32.052,3.683
