FruitID,Brix,Brix_date
GS1_26.02,13,7
GS1_149.03,11.8,7
GS1_200.02,11.8,7
GS1_200.01,12.7,7
GS1_94.03,11.5,7
GS1_200.05,11.1,7
GS1_81.04,11.6,7
GS1_149.04,13,7
GS1_48.02,12.5,7
GS1_149.05,11.8,7
GS1_26.05,13,7
GS1_85.05,13.3,7
GS1_81.01,11.6,7
GS1_26.03,13.8,7
GS1_48.04,11.4,7
GS1_92.01,12.7,7
GS1_149.02,12,7
GS1_26.06,13.6,7
GS1_85.03,14,7
GS1_81.05,12.1,7
GS1_94.01,12.7,7
GS1_5.04,12.8,7
GS1_94.02,12.2,7
GS1_158.01,11.3,7
GS1_94.04,12.3,7
GS1_81.02,9.8,7
GS1_26.04,13.1,7
GS1_48.03,12.7,7
GS1_92.04,12.8,7
GS1_200.04,10.8,7
GS1_200.06,11.6,7
GS1_92.03,13,7
GS1_48.01,11.3,7
GS1_85.04,12.3,7
GS1_48.05,9.7,7
GS1_81.06,11.8,7
GS1_85.06,12.3,7
GS1_85.01,12.6,7
GS1_26.01,13.4,7
GS1_48.06,9.7,7
GS1_85.02,11.6,7
GS1_200.03,11.5,7
GS1_81.03,10,7
GS1_25.02,8.8,7
GS1_46.04,10.6,7
GS1_104.05,13.4,7
GS1_129.01,12.2,7
GS1_41.02,12,7
GS1_60.06,11.8,7
GS1_91.01,13.7,7
GS1_34.03,12.4,7
GS1_193.02,9.8,8
GS1_193.01,9.9,8
GS1_193.06,9.8,8
GS1_140.01,13.9,8
GS1_140.05,14,8
GS1_37.06,13.1,8
GS1_193.04,9.8,8
GS1_193.05,11.4,8
GS1_140.04,13.6,8
GS1_140.02,14.7,8
GS1_140.03,14.5,8
GS1_168.01,10.8,8
GS1_168.06,10.5,8
GS1_168.03,13.7,8
GS1_67.05,11.1,8
GS1_37.04,10,8
GS1_168.04,12.6,8
GS1_3.02,11.9,8
GS1_168.02,13.2,8
GS1_148.01,11.3,8
GS1_97.04,12.1,8
GS1_67.04,12.3,8
GS1_97.03,13.6,8
GS1_97.05,13.2,8
GS1_97.01,13.8,8
GS1_43.03,14.5,8
GS1_120.04,10.7,8
GS1_120.03,10.6,8
GS1_95.04,10.5,8
GS1_120.06,11.6,8
GS1_95.05,11.6,8
GS1_43.05,13.3,8
GS1_95.01,12.1,8
GS1_43.06,11.8,8
GS1_148.02,11.3,8
GS1_67.01,12.4,8
GS1_97.02,13.6,8
GS1_67.02,13.2,8
GS1_43.04,13.4,8
GS1_43.02,14,8
GS1_43.01,14.2,8
GS1_188.02,12.9,8
GS1_3.01,11.3,8
GS1_168.05,13.3,8
GS1_15.01,12.8,8
GS1_95.06,11.7,8
GS1_148.04,10.8,8
GS1_95.02,10.5,8
GS1_204.04,10.2,8
GS1_188.04,12.9,8
GS1_188.03,10.7,8
GS1_120.05,11.6,8
GS1_97.06,14.2,8
GS1_3.04,12.3,8
GS1_67.06,11.8,8
GS1_204.03,12.5,8
GS1_188.01,9.6,8
GS1_148.03,11.5,8
GS1_96.06,12.7,9
GS1_13.03,15,9
GS1_71.04,13.9,9
GS1_93.03,13.3,9
GS1_187.04,12.7,9
GS1_13.02,12.6,9
GS1_68.03,12.3,9
GS1_68.04,10.6,9
GS1_187.02,13.9,9
GS1_96.05,12.9,9
GS1_71.02,13.9,9
GS1_68.05,12.2,9
GS1_23.05,10.2,9
GS1_93.05,12.6,9
GS1_96.03,13.6,9
GS1_23.06,11.1,9
GS1_93.01,13.8,9
GS1_195.04,12.1,9
GS1_187.06,11,9
GS1_187.01,12.9,9
GS1_71.03,12.7,9
GS1_13.05,12.6,9
GS1_186.02,12.7,9
GS1_206.06,11.6,9
GS1_96.04,12.8,9
GS1_195.05,13.7,9
GS1_195.06,13.4,9
GS1_143.05,11.4,9
GS1_83.06,11.2,9
GS1_136.05,12.3,9
GS1_68.01,12.1,9
GS1_93.06,13.1,9
GS1_196.06,7.9,9
GS1_186.04,13.2,9
GS1_187.03,12.5,9
GS1_96.02,11.8,9
GS1_93.02,13.2,9
GS1_13.04,13.6,9
GS1_93.04,11.3,9
GS1_128.05,10.8,9
GS1_128.02,10,9
GS1_71.01,13,9
GS1_96.01,11.6,9
GS1_23.04,11,9
GS1_23.01,11.7,9
GS1_151.01,12.3,9
GS1_210.04,10.1,9
GS1_23.02,10.5,9
GS1_195.03,13.4,9
GS1_23.03,8.2,9
GS1_13.01,14,9
GS1_71.06,13.6,9
GS1_151.04,11.9,9
GS1_68.02,13.4,9
GS1_41.02,11.3,9
GS1_151.02,12.4,9
GS1_3.03,12.2,9
GS1_174.01,15,9
GS1_187.05,10.8,9
GS1_71.05,14.3,9
GS1_148.05,11.3,9
GS1_128.04,10.3,9
